Date,Store ID,Product ID,Quantity Sold,Revenue
2011-07-30,,wR-4261,30,182.69
1992-01-09,27,Ps-9555,NaN,407.84
1970-08-26,,sE-1449,38,
2016-06-08,60,AF-1438,16,
2008-03-17,,,9,
2014-07-02,,Ie-0755,,
2001-12-18,,,14,
1993-04-12,6,pA-1991,,12.91
2007-07-01,,Lm-6479,6,161.71
2000-11-06,,BADID,,314.95
2020-05-20,,,,
2000-10-11,,Hh-1043,,44.55
2018-12-29,,,12,280.37
1986-08-14,96,BADID,34,
1978-09-19,5,,,
2011-02-16,,cP-8159,,
1978-10-26,16,,,258.92
1990-11-10,,iA-6091,42,
2017-01-03,,,NaN,155.77
2002-06-06,,,NaN,116.43
2001-12-16,40,,,
2016-05-08,19,BADID,10,142.18
1983-07-20,,BADID,,420.23
1972-04-11,,BADID,NaN,
2024-10-01,,dz-7106,23,
1974-05-25,,mc-0826,,348.99
1997-10-26,,,NaN,252.89
2010-05-16,16,wS-3368,37,158.71
2018-05-01,,Sb-0479,35,
2015-02-05,22,BADID,,181.45
1989-01-26,,BADID,,
2012-07-26,42,BADID,,86.93
2011-07-22,49,FQ-0757,,
1991-11-06,9,BADID,NaN,322.52
2011-01-03,,,,
2024-02-14,,Ud-1922,NaN,490.4
2009-01-16,,BADID,,
2017-11-09,52,go-2442,48,
2022-04-03,,,2,
1999-07-05,62,BADID,NaN,
2013-01-16,,BADID,,
1983-10-12,,Mo-0937,,
2018-02-28,74,DR-2943,NaN,
1982-07-14,,ju-2729,10,
1974-09-16,,,NaN,
1984-04-25,,sW-7456,,
2009-10-16,,BADID,45,
1988-02-28,,Fv-8382,,
1972-09-23,,km-0400,6,
1976-08-30,,,,
2008-04-28,,BADID,NaN,231.91
1977-02-11,44,BADID,NaN,
1993-07-31,80,,,
2011-02-03,,ZQ-5012,,
1991-07-24,,,45,494.78
2007-09-14,88,BADID,,
1992-03-19,34,,,
2004-08-17,78,Ym-7034,32,421.2
1986-12-24,,kt-6184,8,
1997-06-18,,BADID,NaN,
1991-09-08,,YX-6638,NaN,
1990-09-25,85,,NaN,
1997-02-15,,SV-3677,NaN,85.81
1993-07-24,,,NaN,
1978-02-21,59,,18,
1978-03-07,,,,
1982-10-14,42,BADID,,292.71
2007-12-20,,EX-3637,19,
2008-06-21,,,NaN,
1993-10-05,,BADID,8,364.72
2012-04-29,,Ki-0670,NaN,
2010-10-07,,xo-3583,,26.04
1975-02-23,,Hw-9893,6,
2011-12-05,,dK-8975,NaN,
2003-12-03,,MI-8917,NaN,270.37
2001-10-10,,tG-5756,NaN,
1973-03-12,,WR-8222,NaN,229.72
2024-04-23,54,kA-0360,NaN,321.83
1994-09-30,,,,
2000-01-15,62,,22,
1997-06-04,49,rJ-7969,38,
1982-10-11,,gS-7468,NaN,
1990-08-23,33,QH-2615,39,130.42
2011-08-28,47,BADID,,
2016-03-30,,BADID,NaN,
2006-07-20,,,,103.07
1991-04-04,,CR-2267,,
1989-12-12,,BADID,3,
2000-07-05,,,23,462.95
1974-05-03,24,,18,
1990-01-26,21,BADID,NaN,
1974-06-01,,BZ-9701,14,
2023-05-30,,Sb-4756,NaN,461.44
1997-04-17,12,dM-7273,40,
2001-05-14,15,BADID,,185.83
2011-08-19,,BADID,30,
1999-01-15,,BADID,NaN,
1977-02-23,,BADID,NaN,
2025-02-07,72,BADID,,
1973-04-08,,,24,
1986-09-30,77,BD-8414,,
1977-08-16,,BADID,50,441.57
2012-12-02,74,,,
2015-08-13,54,Jz-8963,,
1990-07-17,47,,NaN,
1987-11-18,,BADID,,
1970-09-12,,,,
1980-05-18,,,NaN,
2005-02-10,9,Lv-4218,36,
1982-11-30,,Oo-4043,,258.59
2015-02-06,,,24,
2008-06-22,27,RD-1734,NaN,110.32
1992-07-02,55,BADID,NaN,
1975-08-31,,,,
2020-02-20,,,NaN,154.23
2021-11-07,,,,
1982-02-08,47,,8,
2019-08-06,,BADID,23,138.49
1994-03-10,21,BADID,31,394.81
1974-05-11,13,BADID,40,
2017-09-29,20,KM-3157,38,
2000-03-24,24,Ni-3004,NaN,
2003-01-31,,,NaN,
1983-01-16,,BADID,,
1977-01-22,48,,47,
2017-10-11,,rh-0362,1,499.27
1986-03-16,95,ea-3581,NaN,
1970-11-11,79,,10,386.69
2011-08-11,,BADID,,
1970-09-14,,aJ-5685,43,
1971-01-08,,,,
2011-07-22,9,BADID,NaN,420.58
1973-11-26,,Gl-9633,NaN,
1983-07-17,8,BADID,NaN,
1998-12-26,51,BADID,10,
1997-02-22,,BADID,NaN,319.05
2019-06-10,95,vw-3614,NaN,
1979-11-08,33,,,
2001-02-28,,,,
1979-02-02,,,,
2010-04-12,,ga-0673,,
1973-06-11,,,NaN,197.65
2006-04-26,17,,,
1981-09-02,,,NaN,
1974-09-15,62,BADID,26,
2014-02-18,,ES-5520,,466.58
2010-08-13,,Ee-2703,,
1988-01-28,,JW-0580,18,
1982-06-08,,BADID,31,
1994-05-02,1,BADID,NaN,
2011-03-05,,ub-7637,NaN,
1970-03-04,,Zz-5700,NaN,
2015-07-30,,Vn-5642,37,
1985-03-16,,yD-4363,,332.82
2013-01-10,,CP-4691,,
2010-10-30,85,,,490.02
1991-01-23,,BADID,6,
2023-06-10,,BADID,45,
2013-09-19,57,BADID,37,12.88
1974-09-01,,Gm-6918,35,
1980-02-25,22,,,
2020-02-16,,BADID,,
2022-06-14,,BADID,3,483.6
1994-09-08,,BADID,NaN,393.75
1995-07-15,71,cc-2631,NaN,
2022-12-20,,Qe-2464,45,
2008-01-12,,ns-8480,39,
1993-12-16,,,,487.04
1989-05-29,,BADID,NaN,
2025-01-01,,BADID,,57.32
2017-04-02,,dJ-5012,,
1994-07-29,,Hw-8510,NaN,
2012-07-13,,iU-3408,,
2024-11-03,,,NaN,320.72
1985-11-18,,BADID,17,
2011-01-01,,BADID,NaN,
2001-02-25,69,BADID,NaN,
1979-09-24,,BADID,NaN,
2005-05-27,18,BADID,NaN,
2022-05-22,,BADID,,55.35
1993-04-24,57,,,
2014-01-27,,,,
1983-03-15,,BADID,NaN,
1992-06-04,,kL-4822,,426.95
2012-05-07,61,Dw-2254,NaN,431.28
1996-02-18,,ny-2836,,
2001-05-22,77,,37,
1979-11-15,7,BADID,41,105.78
2020-12-09,,nN-9114,17,496.26
1975-11-23,75,BADID,,
2009-11-16,,MT-7220,,
2008-01-14,,BADID,21,
2023-06-28,3,Mf-4705,,
2007-09-08,,ER-6933,,
1984-04-19,57,BADID,,
2014-07-24,,bi-2052,,
2013-07-02,,,25,
1996-04-17,11,eT-8050,NaN,
2010-11-09,,,NaN,
2017-03-28,,sx-5674,29,
1977-08-10,85,BADID,6,
2012-08-25,80,,,
1975-10-08,,YT-9435,,45.15
1970-11-05,,,,
1990-07-18,70,RG-3148,29,
1995-11-28,,BADID,NaN,159.18
1996-08-25,,BADID,,
1989-11-09,,,50,
1988-05-19,,,NaN,489.87
1979-04-27,,,24,
2007-05-30,,,NaN,
2002-09-03,2,,42,
1993-09-19,60,BADID,NaN,
2007-06-01,,BADID,NaN,125.85
2000-02-09,,Bi-1290,,
2016-04-27,,,,
1982-04-13,5,,NaN,
2013-11-24,,,NaN,
1993-06-23,97,,15,
2012-01-22,86,SB-4080,18,
1996-02-25,,,22,
1989-07-28,,PZ-7708,NaN,
1992-04-27,90,BADID,41,
2018-11-16,42,BADID,,131.5
2000-05-22,,,,
2003-01-07,,Wj-3059,39,154.32
1980-07-06,,FC-6669,7,
1999-01-28,,BADID,9,
2009-06-25,,BADID,29,
2010-07-26,,WC-2426,47,
1999-10-25,,BADID,NaN,
1989-01-31,,PJ-3646,,96.32
1976-03-21,,,NaN,442.7
1980-12-06,,SG-4283,30,
1978-04-18,,en-8717,NaN,
1977-09-28,,BADID,NaN,
1999-04-04,,ek-6922,,
1971-09-03,,,NaN,
1983-09-17,59,BADID,,110.02
2011-10-17,20,oy-5942,,
1989-11-07,,,,
2018-04-14,64,BADID,2,
1984-09-07,88,,,180.93
1998-06-17,100,,6,
2018-11-05,68,BADID,,271.77
1984-08-11,,ql-3386,43,131.9
2011-02-19,40,tz-3565,26,
2010-11-06,,,NaN,385.01
1985-06-22,,BADID,8,
2013-01-14,,BADID,50,399.78
1982-03-03,54,BADID,,
2006-12-07,,Jv-4314,12,312.51
2018-03-06,8,,,223.47
1988-08-03,45,,,44.89
1979-05-30,28,BADID,NaN,
1984-10-28,,BADID,NaN,
2024-07-01,,,NaN,
1972-06-11,,py-2805,2,
1972-10-21,,bs-7694,NaN,
1975-01-16,,,,314.66
2021-02-14,,,8,
1971-12-08,67,pZ-2204,NaN,
2006-04-14,,,28,
2003-02-17,,,,
1986-11-27,,PL-4068,,
2006-03-29,,Hu-6798,,
1970-10-03,,BADID,,
1978-03-10,,,4,
2011-07-17,,BADID,,
2023-03-12,,TB-8520,,
2015-10-29,,BADID,NaN,
2018-07-25,64,,,
1979-03-20,24,,42,
1988-08-09,,LF-7123,16,47.62
2014-03-20,28,ox-3762,12,
2001-01-26,,aa-5300,,
2022-01-18,,aV-1808,24,
2009-06-05,,,NaN,310.83
2000-09-19,,BADID,NaN,
1988-09-29,34,BADID,,
1982-12-31,,BADID,29,
1982-01-31,,BADID,NaN,
2012-11-30,,,NaN,
1976-01-12,32,,14,
1979-09-28,,BADID,NaN,48.35
1977-03-08,,Id-5226,NaN,426.99
1993-09-02,,BADID,,
2005-02-19,,cR-5468,11,461.6
2000-07-22,,,12,178.82
1985-07-02,,Mg-7273,,69.07
2022-04-15,,GL-6962,49,
1983-05-20,,,,
2010-02-07,,dV-0607,NaN,
1988-08-31,,BADID,NaN,
2007-07-29,94,hd-1129,37,
2004-05-21,,dW-5687,13,25.84
2014-05-27,6,CL-3462,4,
1996-08-02,,bt-0838,NaN,
1977-04-05,,GR-6814,NaN,
2022-07-25,,EA-0818,NaN,27.57
1987-02-04,,,32,
2017-11-30,,BADID,,49.85
2016-08-12,,AC-3521,,
2016-06-16,,FH-3758,12,
2004-09-28,,,38,362.18
2024-07-15,,,5,
2025-01-06,,BADID,21,142.6
2008-08-10,,cq-5643,,
2023-09-24,62,eg-7839,26,444.24
2024-01-27,43,,4,
1977-01-02,,Hh-4905,41,376.32
1989-12-02,,BADID,42,
1993-06-17,,IV-6497,NaN,399.26
2006-05-31,64,BADID,33,
1993-04-07,79,EA-4458,,
2005-10-15,,,,
1983-12-07,,mN-1787,29,479.54
1976-03-31,,,NaN,
1997-12-13,45,,42,
2017-08-14,,BADID,,441.61
2014-08-23,12,Ut-7752,,
2019-02-15,83,gu-8006,NaN,426.53
2011-04-03,,Qi-8318,NaN,194.86
2004-01-09,,BADID,NaN,
2016-09-10,,tH-8246,NaN,
2009-01-18,,BADID,NaN,481.84
2017-04-03,,rU-5294,,
2018-06-30,,BADID,20,
2019-03-23,43,Kf-4520,50,
1987-07-01,,XL-5511,NaN,
2022-05-01,,,24,
1996-10-22,,BADID,NaN,
2009-07-02,,BADID,,214.3
1999-10-04,,Hf-9053,42,
2006-08-28,,BADID,6,
1986-04-23,,BADID,NaN,
1978-12-10,,,,255.87
1986-07-18,,BADID,,464.41
1982-03-18,42,BADID,50,
1987-09-09,20,sl-8758,,
1997-07-25,,BADID,28,
1987-04-18,,oU-2274,NaN,
2014-06-11,,Dv-9438,21,
1988-06-25,,BADID,NaN,
1973-03-24,,,,
1974-06-05,82,,NaN,
2009-05-28,,,13,430.33
1995-12-26,,,NaN,421.3
1993-01-11,,BADID,,
2004-07-07,,jL-1298,,303.99
1983-09-02,,,NaN,436.05
2024-01-29,40,BADID,,27.65
2021-02-26,87,,10,
2005-08-13,,Sb-7575,NaN,
2015-09-16,74,BADID,,422.73
2001-10-28,70,Gx-0737,NaN,362.7
1974-09-11,,BADID,NaN,
2002-06-23,,,NaN,13.42
2005-11-23,,,,
1987-06-29,,Re-4990,NaN,
2013-08-04,88,,,
2012-07-10,60,,39,331.77
1998-11-06,,CP-9634,,
1996-10-08,,,NaN,
2008-01-20,81,ey-4721,13,454.21
2002-12-05,,xo-2683,7,60.74
2000-10-01,54,BADID,44,
2000-01-08,4,,NaN,
1980-04-10,,,,234.12
2014-07-10,,BADID,16,
2022-08-15,,rE-7545,38,451.16
1992-07-12,18,BADID,,153.82
1977-06-03,,,3,
2017-12-13,,UK-3164,NaN,218.5
1983-08-10,,BADID,NaN,
2019-12-14,86,BADID,,437.15
2007-01-18,,Hk-7011,18,
2019-11-05,,,12,
1977-02-08,50,,NaN,
2024-01-01,17,Ty-1630,31,
2009-10-17,,BADID,NaN,235.32
2014-06-10,,,24,
2018-10-27,,,NaN,
1975-05-03,,,NaN,
1998-09-18,,BADID,,318.47
1975-05-15,,au-7697,NaN,273.17
1997-02-24,,BADID,,
2001-02-10,64,,,
2004-03-03,,ow-0743,,240.89
1986-02-27,,tK-8539,40,
2014-12-31,,sq-6806,,
2012-07-31,12,,NaN,
1999-09-09,,aS-5963,,
2000-10-04,,BADID,NaN,
1999-07-17,,AS-1538,,223.73
2022-04-13,45,,,
1995-09-13,,BADID,8,168.68
2012-07-09,,BADID,31,
2017-09-08,,NA-7798,9,419.28
1976-05-23,,BADID,,434.25
2007-02-16,17,BADID,NaN,437.84
2010-05-01,93,Yo-0958,NaN,168.31
2011-09-01,,,6,73.61
1994-06-07,,ox-4235,NaN,
1984-04-12,,,NaN,
1971-11-20,,,NaN,298.83
2019-01-11,51,nL-9348,NaN,
1975-08-08,,CE-8809,,
2009-11-11,10,qL-0136,NaN,316.2
2021-12-03,,tS-1446,,
2006-02-07,,Yy-4068,,
2003-09-26,,,,481.56
2001-07-16,,,NaN,
1988-09-14,96,cl-5839,27,
1976-03-27,33,mz-5807,22,
1994-05-14,,Nx-3731,37,
1981-11-19,51,oP-1680,14,27.31
2018-04-20,89,BADID,,446.54
1984-12-28,65,,NaN,305.07
1990-03-25,,,NaN,
1977-07-25,8,eY-0848,,
2017-03-30,66,kN-0168,,206.52
2013-12-12,,gC-4560,10,273.69
2008-12-29,,,,31.53
1978-01-09,27,gh-8809,11,
1991-05-18,14,vo-1999,38,
2014-09-28,,,,
1978-03-22,,BADID,NaN,
1983-10-24,59,,,
1981-07-22,,BADID,,138.79
1999-01-14,,,,11.5
1982-10-20,6,BADID,,
2002-08-12,40,,NaN,187.28
1975-03-22,10,BADID,,353.84
2024-02-11,,BADID,36,
1977-10-08,,,NaN,
1975-12-10,77,BADID,NaN,333.59
1990-11-08,,BADID,19,
2007-06-01,57,BADID,10,
1999-08-23,38,,22,416.07
2002-07-24,48,Jp-4363,,
1997-03-03,32,Du-6006,,
1999-08-06,,BT-9837,NaN,121.44
1973-02-07,,BADID,NaN,
2017-12-14,,Wy-4176,,194.51
2016-11-03,,BADID,,
1982-01-17,56,,8,441.96
1993-11-10,,BADID,11,
1989-06-25,,Pp-9275,28,
1992-09-04,,,,
2000-11-29,79,BADID,50,
1974-05-09,,BADID,NaN,
2016-01-15,,Ba-9703,12,
1975-09-19,100,,,
2014-01-13,3,Tn-2270,,
2008-11-11,,BADID,,
1989-07-02,,BADID,NaN,
2016-07-12,85,,,
2015-09-11,,,NaN,
2012-07-20,,ZE-0105,NaN,131.04
1970-02-03,,,,
2019-12-08,,MR-1216,,
2002-09-07,,BADID,21,315.62
2005-08-19,,,,
2008-03-02,,PP-9897,,260.94
1997-01-13,,,,
2022-12-24,,,38,
1990-05-10,,BADID,50,
2000-01-20,74,,12,93.22
1986-04-26,,BADID,,128.39
1982-01-01,83,,NaN,
